0,1,2,3,4,5
Quirinus Quirrell,Harry Potter and Lord Voldemort,"Lily's sacrificial protection over Harry, and Quirrell's abandonment by Voldemort's soul.",4 June 1992,"'Master, I cannot hold him – my hands – my hands!'","Killed while attempting to steal the Philosopher's Stone from Harry Potter so Voldemort could use it to regain a body; was at the time sharing his own body with Voldemort, who thus played a part in his host's death when departing him.[3]"
Character,Killed by,Cause of death,Date of death,Last lines,Notes
Merope Riddle,Natural causes,Childbirth,31 December 1926,'I hope he looks like his papa.',"Died at Wool's Orphanage right after giving birth to Tom Riddle, later known as Lord Voldemort.[4]"
Myrtle Warren,Salazar Slytherin's Basilisk,Direct eye contact with the Basilisk.,13 June 1943,*Crying*,"Killed during Tom Riddle's first attempt to finish Salazar Slytherin's purge of Muggle-borns,[5] in the second-floor girl's lavatory that concealed the entrance to the Chamber of Secrets,[6] so that Riddle could turn his own diary into a Horcrux.[7] Later became the ghost haunting the same bathroom.[6]"
Armando Dippet,N/A,Old age.,1992,Unknown,Died sometime after his 355th birthday.
Rubeus Hagrid's chickens,Ginevra Weasley (influenced by Tom Riddle's Diary),Strangulation,31 October 1992,*Squawking/Clucking*,Killed as a precaution since their crow was fatal to a Basilisk.[5]
The Serpent of Slytherin,Harry Potter,Stabbed with Godric Gryffindor's Sword,29 May 1993,Hissing,"In the Chamber of Secrets — Harry, with the assistance of Fawkes, managed to drive Gryffindor's sword through the top of the great snake's mouth, killing it.[5]"
Tom Riddle's diary (Voldemort's 1st horcrux),Harry Potter,Stabbed with Basilisk's fang,29 May 1993,Screaming,Destroyed by Harry Potter as it was a part of Voldemort[5]
Character,Killed by,Cause of death,Date of death,Last lines,Notes
12 Muggles,Peter Pettigrew,Blasting Curse,1 November 1981,Unknown / varies,Sirius Black was framed for the crime; happened shortly after Voldemort's attack on the Potters.[8]
Bilius,Unknown,Unknown,"Unknown, possibly around the time when Ron was seven years old",Unknown,"Saw a Grim, and died 24 hours later of unspecified causes.[9]"
Binky (a pet rabbit),A fox,Mauling,15 October 1993[10],None,The rabbit was 'just a baby' when the death occurred. Belonged to Lavender Brown and caused her to accept Sybill Trelawney's apparent predictions.[11]
Hagrid's Flobberworms,Hagrid's third year class,Overfeeding,Sometime during the 1993–1994 school year,"According to Hagrid, they were fed too much lettuce.[12]",
Unidentified bluebird,Whomping Willow,Flying too close[13],,,
Character,Killed by,Cause of death,Date of death,Last lines,Notes
Rubeus Hagrid's father,Unknown,Between 1 September 1941 and 31 August 1942,Unknown / Varies,Unknown / Varies,
Tom Riddle Snr,Tom Riddle,Killing Curse,August 1943,Killed so that Tom Riddle could turn Marvolo Gaunt's Ring into a Horcrux. Framed Morfin Gaunt for the crime.[14],
Thomas Riddle,,,,,
Mary Riddle,,,,,
Mrs Crouch,N/A,Unknown Illness,1982,"Took Polyjuice Potion and posed as her son, Barty Crouch Jnr and took his place in Azkaban Prison. Buried at the burial ground by the prison, under her son's physical appearance.[15]",
Evan Rosier,Alastor Moody,Unknown,1980,"Both killed while resisting capture before Lord Voldemort's downfall. Evan, however, managed to blast off a significant part of Moody's nose in the process.[16]",
Wilkes,Unspecified Aurors,,,,
Bertha Jorkins,Lord Voldemort,Killing Curse,Summer 1994,Passing on the information about the Triwizard Tournament to Voldemort,"Disposed of by Voldemort after passing on the information about the Triwizard Tournament to him, Barty Crouch Jnr and Peter Pettigrew.[17][18]"
Frank Bryce,24 August 1994,"'Is that right? Lord, is it? Well, I don't think much of your manners, My Lord. Turn 'round and face me like a man, why don't you?'
-(screaming)","In the Riddle House, murdered for overhearing Voldemort's plans for the Triwizard Tournament and Harry Potter.[17]",,
Spider,Barty Crouch Jnr (posing as Alastor Moody),4 September 1994,Squealing,This spider was used to demonstrate the Killing Curse to Moody's class.[19],
Barty Crouch Snr,24 May 1995,'I... escaped... must warn... must tell... see Dumbledore... my fault... all my fault... Bertha... dead... all my fault... my son... my fault... tell Dumbledore... Harry Potter... the Dark Lord... stronger... Harry Potter...',Killed for abandoning him as a son years ago. Body later transfigured into a bone and buried in Hagrid's garden.[15],,
Cedric Diggory,Peter Pettigrew (as per Lord Voldemort's orders),24 June 1995,"'Dunno. Wands out, d'you reckon?'",Accidentally Portkeyed to Little Hangleton with Harry Potter and was disposed of by Peter Pettigrew on Voldemort's orders.[18],
Character,Killed by,Cause of death,Date of death,Last lines,Notes
Dean Thomas' father,Death Eaters,Murder by unknown means,1980,Unknown / Varies,Killed for not joining the Death Eaters.
Benjy Fenwick,Death Eaters,A curse that blasted him into pieces.,1981,Killed for being part of the Order of the Phoenix. Brutal killing and only bits of him were ever found.[20],
Dorcas Meadowes,Lord Voldemort,Unknown,Killed for being part of the Order of the Phoenix.[20],,
Pandora Lovegood,Herself (by accident),One of her spells backfired on her.,1990,"She died in front of her daughter, Luna, who was 9 years old at the time.[21]",
Karkus,"Another giant, Golgomath",Decapitation,1995,"A fight broke out between the giants, Golgomath killed Karkus and assumed his position as Gurg (leader) of their tribe.[22]",
Broderick Bode,Walden Macnair,Strangled with Devil's Snare[23],January 1996,Killed before he could inform people as to what happened to him and about the Death Eaters's plans to get the Prophecy.[24],
Sirius Black,Bellatrix Lestrange,Knocked through the Veil when hit by Bellatrix's spell,18 June 1996,"'Come on, you can do better than that!'","During the Battle of the Department of Mysteries. Bellatrix's curse pushed Sirius into the Veil, killing him.[25]"
Character,Killed by,Cause of death,Date of death,Last lines,Notes
Marvolo Gaunt,N/A,Lack of ability to take care of himself,After he returned from Azkaban,Unknown,He most likely disowned Merope. Summer 1943.
Morfin Gaunt,Azkaban,Summer 1943,This was the second time he went to Azkaban. He was framed by Tom Riddle for murdering the Riddle family.[14],,
Muggle tramp,Tom Riddle (later known as Lord Voldemort),"Unknown, possibly Killing Curse",Between 1947 and 1948,Unknown / Varies,Killed so Tom Riddle could turn Salazar Slytherin's Locket into a Horcrux.
Hepzibah Smith,Poison,"Killed so Tom Riddle could steal the locket and Helga Hufflepuff's Cup, and turn the cup into a Horcrux. Framed Hepzibah's old house elf Hokey for it.[26]",,,
Albanian peasant,"Unknown, possibly Killing Curse",Sometime after 1948,Killed so Tom Riddle could turn Rowena Ravenclaw's Diadem into a Horcrux.[27],,
Amelia Bones,Lord Voldemort,Murder by unknown means,Summer 1996,"Head of the Department of Magical Law Enforcement, killed by Voldemort because she was one of his more powerful enemies.[28]",
Emmeline Vance,Death Eaters,Mid-1996,Killed for being a member of the Order of the Phoenix.[28],,
Florean Fortescue,1996,Owner of Florean Fortescue's Ice Cream Parlour in Diagon Alley. Killed for not having information that the Dark Lord demanded on the Elder Wand.[29],,,
Igor Karkaroff,Before 31 July 1996,Former Death Eater killed for desertion to Voldemort and for treason against the Death Eaters.[30],,,
Mrs Abbott,Autumn 1996,Her daughter Hannah Abbott was taken out of Herbology one day to be told her mother had been found dead.[31],,,
A fly,Cormac McLaggen,Crumbled by hand,14 September 1996,Buzzing,"While trying out for the position of Keeper on the Gryffindor Quidditch team during the 1996–1997 school year, Cormac McLaggen demonstrated his quick reflexes by catching a fly with his fingers."
Montgomery,Fenrir Greyback,Mauling,April 1997,Unknown / Varies,Five year-old-boy attacked by werewolf because his mother would not help the Death Eaters. Later died of his injuries in St Mungo's Hospital.[32]
Aragog,N/A,"Old age, sickness[32]",20 April 1997,"Died after having been poorly for some time. Horace Slughorn, Harry Potter and Rubeus Hagrid (his owner) held a funeral for him.[32]",
Gibbon,"Fellow Death Eater, Thorfinn Rowle (by accident)",Killing Curse,30 June 1997,During the Battle of the Astronomy Tower. Stray Killing Curse cast by Thorfinn Rowle that missed Remus Lupin struck Gibbon instead.[33],
Albus Dumbledore,Severus Snape (secretly under Albus' orders),'Severus... please...',"During the Battle of the Astronomy Tower,[34] under orders from Dumbledore himself so that Lord Voldemort would gain Snape's trust and then Snape would spy on him because of his love for Lily Evans.[35]",,
Character,Killed by,Cause of death,Date of death,Last lines,Notes
Helena Ravenclaw (The Grey Lady),Bloody Baron,Stabbing,Early 11th century,Unknown / Varies,Killed after she told the Baron that she would not go back with him.[36]
Bloody Baron,Himself,Stabbed himself after he felt remorse for the murder of the Grey Lady.[36],,,
Antioch Peverell's enemy,Antioch Peverell,"Unknown, possibly Killing Curse",Between 12 July 1214 and 18 May 1291,His death indirectly caused someone at the bar to kill Antioch Peverell.[37],
Antioch Peverell,Antioch Peverell's killer,Slit throat[37],Original owners of the Deathly Hallows.,,
Cadmus Peverell's fiancée,N/A,Unknown,c. The 13th century,She was the reason Cadmus asked for the Resurrection Stone.[37],
Cadmus Peverell,Himself,Hanged[37],Between 12 July 1214 and 18 May 1291,Original owners of the Deathly Hallows.,
Ignotus Peverell,N/A,Natural causes[37],18 May 1291,,
Percival Dumbledore,Azkaban,Unknown,c. 1890,Died after being imprisoned for attacking three Muggle boys.,
Kendra Dumbledore,Ariana Dumbledore (by accident),Killed when her daughter lost control of her magic.,1899,Forced Albus to remain at home to care for his family.,
Ariana Dumbledore,"Unknown; either Albus Dumbledore, Gellert Grindelwald, or Aberforth Dumbledore","Unknown spell, presumably a Killing Curse","Caught in the crossfire and died when a three-way duel broke out. Estranged Albus and Aberforth, forced Grindelwald to flee the country.",,
Regulus Black,Inferi,Drowned,1979,Ordering Kreacher to destroy Salazar Slytherin's locket,Killed while trying to destroy the locket Horcrux. Ordered Kreacher to destroy it before death.[38]
Octavius Pepper,Death Eaters,Murder by unknown means,Spring 1997,Unknown,His disappearance later reported in the Daily Prophet about the Wizard's death.
Charity Burbage,Lord Voldemort,Killing Curse,Summer of 1997,'Severus... please... please...',Killed for her pro-Muggle leanings and for her pro-Muggle article on the Daily Prophet during a gathering of Death Eaters at Malfoy Manor. The body was later eaten by Nagini.[39]
Hedwig,Death Eater,27 July 1997,Screeching,Hit by a Killing Curse during the Battle of the Seven Potters. Possible that this Killing Curse may have been intended for Rubeus Hagrid.[40],
Alastor Moody,Lord Voldemort,Trying to stop Mundungus Fletcher escaping from the battlefield,Died after Mundungus Fletcher abandoned him during the Battle of the Seven Potters.[41],,
Rufus Scrimgeour,1 August 1997,Unknown,Killed after telling Voldemort he does not know where Harry Potter was.,,
Unnamed German-speaking family: a woman and two children,1 September 1997,"'Das weiß ich nicht! He move! I know not, I know not!'",At Gregorovitch's former residence.,,
Mykew Gregorovitch,2 September 1997,"'I do not know, I never knew, a young man — no — please — PLEASE!'",During Voldemort's search for the Elder Wand.,,
Bathilda Bagshot,Nagini,Mauling,Sometime before 24 December 1997,Unknown,Godric's Hollow. The body used as a disguise by Nagini to lie in wait for Harry Potter.
Gellert Grindelwald,Lord Voldemort,Killing Curse,March 1998,"'Kill me, then, Voldemort! You will not win, you cannot win! The wand will never, ever be yours-'",For not giving Lord Voldemort information on the Elder Wand.
Ted Tonks,Snatchers,Unknown / Various,1998,Unknown / Various,The search for Muggle-borns and Blood traitors. All killed resisting capture from the Snatchers.
Dirk Cresswell,,,,,
Gornuk,,,,,
Peter Pettigrew,"Killed by his own magical prosthetic hand (thus Lord Voldemort, indirectly).[42]",Strangulation,March 1998,'Stand back. Stand away from the door. I am coming in.',During the Skirmish at Malfoy Manor. Killed because he hesitated to strangle Harry Potter because he saved his life in Spring 1994.[42]
Dobby,Bellatrix Lestrange,Deep wound by Bellatrix's hurled knife,'Harry... Potter...',Killed by a knife thrown by Bellatrix Lestrange while saving Harry Potter and his friends from the Death Eaters at Malfoy Manor by apparating to Shell Cottage.[42],
Bogrod,Ukrainian Ironbelly at Gringotts,Burnt to death,1 May 1998,'What the Devil are all you doing down here!? Thieves! COME QUICK!',"He was under Harry Potter's and Ronald Weasley's control due to the Imperius Curse, but anti-theft enchantments in the bank caused the curse to wear off, and the goblin realised what was going on and alerted the guards before being killed by the dragon.[43]"
Unnamed Goblin,Lord Voldemort,Killing Curse,"'A ... a s-small golden c-cup, m-my Lord ...'","He was killed in a fit of rage after informing Voldemort that Harry, Hermione, and Ron stole 'a small golden cup' which was one of his Horcruxes.[44]",
"Several Death Eaters, Gringotts Guards, Griphook and other Goblins",Unknown; Varies,All killed during Voldemort's fit of rage after being told that Helga Hufflepuff's Cup (which was one of his Horcruxes) was stolen.,,,
Several Snatchers,Hogwarts staff members who cast the defensive shielding spells around the castle,Defensive shielding spells including Protego horribilis,2 May 1998,(battle cry),During the Battle of Hogwarts. Several Snatchers tried to run through the barrier but were instantly vaporised.[43]
Scabior and more Snatchers,Neville Longbottom,Collapse of the Wooden Bridge,(screams),Casualties of the Battle of Hogwarts,
Vincent Crabbe,Himself (by accident)[36],Fiendfyre[36],"'Like it hot, scum?'",,
Fred Weasley,Unknown,Explosion,"'You actually are joking, Perce... I don't think I've heard you joke since you were–'",,
Remus Lupin,Antonin Dolohov,Unknown / possibly Killing Curses,Unknown,,
Nymphadora Tonks,Bellatrix Lestrange,,,,
Lavender Brown,Fenrir Greyback,"Werewolf Attack, Later succumbed to wounds.",,,
Unidentified female Hogwarts teacher,Unknown Death Eaters,Unknown / possibly Killing Curses,,,
Colin Creevey,,,,,
Severus Snape,Nagini (as per Lord Voldemort's order),Exsanguination,'Look... at... me...',,
Nagini,Neville Longbottom,Decapitated with Godric Gryffindor's sword,Hissing,,
Bellatrix Lestrange,Molly Weasley,Unknown curse struck directly over her heart,'What will happen to your children once I've killed you? When Mummy's gone the same way as Freddie?',,
Tom Riddle aka Lord Voldemort,Harry Potter/Himself/The Elder Wand which recognised Harry as its true master,"The destruction of his Horcruxes, Harry's mastery of the Elder Wand, and his own rebounding Killing Curse.",'Avada Kedavra!',,
Several Death Eaters,Unknown / Various,Unknown / Various,Unknown / Various,,
Unidentified fallen fifty of the Battle of Hogwarts,,,,,
Character,Killed by,Cause of death,Date of death,Last lines,Notes
Petunia Dursley,N/A,Unknown,Between 1997 and 2020,Unknown,"Following her death, Dudley found Harry Potter's blanket among her possessions and sent it to him."
Astoria Malfoy,N/A,Blood malediction,August 2019,Unknown,
Harry Potter,Lord Voldemort,Killing Curse,2 May 1998,Unknown,"Only happened in an alternate reality accidentally created by Albus Potter and Scorpius Malfoy when time-travelling in an attempt to avoid Cedric Diggory's death; in this reality, after being humiliated at the Triwizard Tournament, Cedric joined the Death Eaters and eventually killed Neville Longbottom during the Battle of Hogwarts, meaning Nagini, Voldemort's last Horcrux, was never destroyed. As a result, Voldemort wins the Second Wizarding War and takes over the wizarding world."
Neville Longbottom,Cedric Diggory,,,,
Craig Bowker Junior,Delphini,30 October 2020,'What's happening?',Was looking for Albus Potter and Scorpius Malfoy on Harry Potter's behest; found them being tortured by Delphini on the Quidditch pitch; was immediately killed. Delphini was later sent to Azkaban for this crime.,
Character,Killed by,Cause of death,Date of death,Last lines,Notes
Sudanese Obscurial,Newt Scamander (accidentally/semi-indirectly) & her own Obscurus inside her,Obscurus removal from inside her,September 1926,Unknown,"Newt Scamander came across her while in Africa studying magical beasts; he managed to separate the Obscurus from her, but she died as a result. Newt was able to preserve the Obscurus despite the death of its host and afterward kept it in stasis in his magical suitcase."
Henry Shaw Junior,Credence Barebone's Obscurus,Obscurus outburst,6 December 1926,"'… and it's true we have made some progress, but there is no reward for idleness. So just as the odious saloons have been banished… so now the pool halls, and these private parlours…'","Shaw had intimidated Credence and called him a freak at Shaw Tower just that very afternoon. Major breach of the International Statute of Wizarding Secrecy, as he was killed in a crowded New York City Hall, during a fundraising dinner. Emergency International Confederation of Wizards meeting gathered at MACUSA that evening."
Mary Lou Barebone,7 December 1926,'What is this?',Mary Lou had discovered Credence with a wand he found under his sister's bed; she was about to punish him when the outburst took place. The Second Salem Church was destroyed in the process.,,
Chastity Barebone,'Don't dump your pamphlets.',Died as a result of fatal injuries sustained when the Second Salem Church was destroyed by Credence's Obscurus attacking their mother.,,,
Character,Killed by,Cause of death,Date of death,Last line,Notes
Bartholomew,Unknown,Unknown,15th–19th century,Unknown,Did not return as a ghost after his death.
Talbott Winger's father,Death Eaters,Unknown,1970s–1980s,Died in an attack by Death Eaters for their opposition in the First Wizarding War while their son survived thanks to his Animagus abilities.,
Talbott Winger's mother,,,,,
Duncan Ashe,Unknown,Erumpent Potion explosion,1970s–early 1980s,Was involved in Jacob's search for the Cursed Vaults. Returned as a ghost after death.,
Rowan Khanna,Patricia Rakepick,Killing Curse,1990,"Sacrificed their life to save Jacob's sibling, Ben Copper, and Merula Snyde.",
Barnaby Lee's grandmother,n/a,The common cold,1992,Caught a cold in her old age and didn't recover,
Character,Killed by,Cause of death,Date of death,Last lines,Notes
Unidentified Non-Magique father,Gellert Grindelwald's acolytes,Killing Curse,September 1927,Unknown,Murdered on Gellert Grindelwald's orders so their house could be used as the temporary headquarters of his acolytes.
Unidentified Non-Magique mother,,,,,
Unidentified Non-Magique toddler,,,,,
Irma Dugard,Gunnar Grimmson,Killed on Gellert Grindelwald's orders.,,,
Laurena Kama,N/A,Childbirth,1896–1897,"Was put under the Imperius Curse by Corvus Lestrange (IV) and forced to have a child with him. Died giving birth to their daughter, Leta Lestrange.",
Mustafa Kama,Unknown,Unknown,1896–1901,"Shortly before he died, he made his son Yusuf swear an Unbreakable Vow to kill the person Corvus Lestrange (IV) loved the most.",
Corvus Lestrange (V),N/A,Sinking ship,1901,"Leta Lestrange switched Corvus with another baby, who was with his aunt.",
Credence Barebone's aunt,,,,,
Red Haired Young Witch,Cassius Bell,Killing Curse,September 1927,"Intimidated by the presence of an Auror, she attacked him. The Auror attacked back and killed her. This caused Grindelwald to shout in fury.",
Krall,Gellert Grindelwald (indirectly),Protego Diabolica,Killed by the fire as he was not truly loyal to Grindelwald.,,
Leta Lestrange,Gellert Grindelwald,"""GO! GO!""",Distracted Grindelwald long enough to give her allies time to escape.,,
Character,Killed by,Cause of death,Date of death,Last line,Notes
Unidentified Qilin mother,Vinda Rosier,Curse delivered by Vinda Rosier and Carrow,Winter of 1932,,Attacked by Grindelwald's followers whilst giving birth
Gellert Grindelwald's Qilin,Gellert Grindelwald,Throat slit with a silver dagger,Her corpse was later reanimated by Grindelwald to cheat his way through the Walk of the Qilin,,
Character,Killed by,Cause of death,Date of death,Last line,Notes
Gareth Greengrass,,Broke an Unbreakable Vow not to tell anyone about The Unforgivable[45],September 2021[45],,
Character,Killed by,Cause of death,Date of death,Last line,Notes
Artemisia Black,Muggle Witch-hunters,Burned alive at the stake[46],Middle Ages[46],,Burned for being a witch
Isidora Morganach's brother,,Unknown,Tudor period[46],,
Isidora Morganach,San Bakar[46],Killing Curse,,Killed to protect the secret of ancient magic,
Niamh Fitzgerald,,Unknown,,Funeral shown to an unidentified 19th-century Hogwarts student in her trial.[47],
Richard Jackdaw,Unknown,Decapitation[46],1790s[46],,Anne Thisbe was wrongfully imprisoned for his murder by the false testimony of Apollonia Black
Apollonia Black,Herself,Poisoning,19th century[46],,"Consumed Belladonna, mistaking it to be Elderberry"
Noctua Gaunt,,Starved to death in Slytherin's Scriptorium[46],Late 19th century[46],,Had nobody to perform the Cruciatus Curse on to pass through a door that required its usage
Sallow siblings' parents,,Poisoned by an undetectable toxin in a lamp[46],,,
Mr Bickle,Theophilus Harlow,Murdered by Theophilus Harlow,,Conspiring against Harlow in some way[46],
George Osric,Ranrok or one of Ranrok's loyalists[48],Dragon attack[46],1 September 1890[46],,
Unidentified goblin,Sebastian Sallow[46],Forced to commit suicide under the Imperius Curse[46],1890s[46],,
Solomon Sallow,Killing Curse[46],1890s[46],,,
Mary Portman,Spiders,Suffocation,1890,,Wrapped in webs by the very spiders she was illegally breeding
Lodgok,Ranrok[46],Murdered,1891[46],,
Victor Rookwood,Himself[46],Killing Curse backfired on himself,1891[46],,"Spell reversed on its caster in a duel with an unidentified Hogwarts student, formally collapsing the Rookwood Gang"
Eleazar Fig,Ranrok[46],Crushed by debris in the battle for the final repository,1891[46],,
Ranrok,Unidentified 19th-century Hogwarts student[46],Defeated in the battle for the final repository,1891[46],,Killed whilst in a dragon form after consuming the ancient magic of the final repository
Bardolph Beaumont,,1890s[46],,Bardolph was turned into an Inferius after his first death. It is unclear when his first death occurred.,
Silvanus Selwyn,,1890s[46],,Hyacinth Olivier asks Unidentified 19th-century Hogwarts student to kill Silvanus Selwyn and the other Ashwinders at Clagmar Castle.[49],

